Edge{X1=0.5, Y1=0.0, X2=0.49465416417417013, Y2=0.009259259259259259, hue=0.9375000279396772, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.75, X2=0.9276668660663895, Y2=0.7407407407407407, hue=0.9375000279396772, saturation=1.0, brightness=1.0}
Edge{X1=0.49465416417417013, Y1=0.009259259259259259, X2=0.4839624925225104, Y2=0.00925925925925926, hue=1.40625, saturation=1.0, brightness=1.0}
Edge{X1=0.9276668660663895, Y1=0.7407407407407407, X2=0.9330127018922193, Y2=0.7314814814814815, hue=1.40625, saturation=1.0, brightness=1.0}
Edge{X1=0.0669872981077807, Y1=0.75, X2=0.07767896975944043, Y2=0.75, hue=1.8750000558793545, saturation=1.0, brightness=1.0}
Edge{X1=0.4839624925225104, Y1=0.00925925925925926, X2=0.48930832834834026, Y2=0.018518518518518517, hue=2.343750111758709, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.7314814814814815, X2=0.9223210302405596, Y2=0.7314814814814814, hue=2.8125, saturation=1.0, brightness=1.0}
Edge{X1=0.07767896975944043, Y1=0.75, X2=0.0830248055852703, Y2=0.7592592592592593, hue=3.281249888241291, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.7314814814814814, X2=0.9169751944147297, Y2=0.7222222222222222, hue=3.749999776482582, saturation=1.0, brightness=1.0}
Edge{X1=0.48930832834834026, Y1=0.018518518518518517, X2=0.4839624925225104, Y2=0.027777777777777776, hue=3.749999776482582, saturation=1.0, brightness=1.0}
Edge{X1=0.0830248055852703, Y1=0.7592592592592593, X2=0.08837064141110015, Y2=0.75, hue=4.218749664723873, saturation=1.0, brightness=1.0}
Edge{X1=0.4839624925225104, Y1=0.027777777777777776, X2=0.47327082087085065, Y2=0.027777777777777776, hue=4.687499552965164, saturation=1.0, brightness=1.0}
Edge{X1=0.9169751944147297, Y1=0.7222222222222222, X2=0.9223210302405596, Y2=0.7129629629629629, hue=5.156249441206455, saturation=1.0, brightness=1.0}
Edge{X1=0.08837064141110015, Y1=0.75, X2=0.0990623130627599, Y2=0.75, hue=5.624999329447746, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.7129629629629629, X2=0.9330127018922193, Y2=0.7129629629629629, hue=6.093749552965164, saturation=1.0, brightness=1.0}
Edge{X1=0.47327082087085065, Y1=0.027777777777777776, X2=0.4679249850450208, Y2=0.018518518518518517, hue=6.562499776482582, saturation=1.0, brightness=1.0}
Edge{X1=0.4679249850450208, Y1=0.018518518518518517, X2=0.4625791492191909, Y2=0.027777777777777776, hue=7.03125, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.7129629629629629, X2=0.9276668660663894, Y2=0.7037037037037037, hue=7.500000223517418, saturation=1.0, brightness=1.0}
Edge{X1=0.4625791492191909, Y1=0.027777777777777776, X2=0.45188747756753117, Y2=0.02777777777777778, hue=7.968750447034836, saturation=1.0, brightness=1.0}
Edge{X1=0.9276668660663894, Y1=0.7037037037037037, X2=0.9330127018922193, Y2=0.6944444444444444, hue=8.437500670552254, saturation=1.0, brightness=1.0}
Edge{X1=0.0990623130627599, Y1=0.75, X2=0.10440814888858976, Y2=0.7592592592592593, hue=8.437500670552254, saturation=1.0, brightness=1.0}
Edge{X1=0.10440814888858976, Y1=0.7592592592592593, X2=0.0990623130627599, Y2=0.7685185185185185, hue=8.906250894069672, saturation=1.0, brightness=1.0}
Edge{X1=0.9330127018922193, Y1=0.6944444444444444, X2=0.9223210302405596, Y2=0.6944444444444444, hue=9.37500111758709, saturation=1.0, brightness=1.0}
Edge{X1=0.45188747756753117, Y1=0.02777777777777778, X2=0.45723331339336104, Y2=0.037037037037037035, hue=9.37500111758709, saturation=1.0, brightness=1.0}
Edge{X1=0.0990623130627599, Y1=0.7685185185185185, X2=0.10975398471441963, Y2=0.7685185185185186, hue=9.843751341104507, saturation=1.0, brightness=1.0}
Edge{X1=0.45723331339336104, Y1=0.037037037037037035, X2=0.45188747756753117, Y2=0.046296296296296294, hue=10.312501564621925, saturation=1.0, brightness=1.0}
Edge{X1=0.9223210302405596, Y1=0.6944444444444444, X2=0.9169751944147296, Y2=0.6851851851851851, hue=9.843751341104507, saturation=1.0, brightness=1.0}
Edge{X1=0.45188747756753117, Y1=0.046296296296296294, X2=0.4625791492191909, Y2=0.046296296296296294, hue=10.781251788139343, saturation=1.0, brightness=1.0}
Edge{X1=0.9169751944147296, Y1=0.6851851851851851, X2=0.9116293585888998, Y2=0.6944444444444444, hue=11.250001341104507, saturation=1.0, brightness=1.0}
Edge{X1=0.10975398471441963, Y1=0.7685185185185186, X2=0.1150998205402495, Y2=0.7777777777777778, hue=11.718750894069672, saturation=1.0, brightness=1.0}
Edge{X1=0.4625791492191909, Y1=0.046296296296296294, X2=0.4679249850450208, Y2=0.05555555555555555, hue=12.187500447034836, saturation=1.0, brightness=1.0}
Edge{X1=0.9116293585888998, Y1=0.6944444444444444, X2=0.9009376869372401, Y2=0.6944444444444444, hue=12.65625, saturation=1.0, brightness=1.0}
Edge{X1=0.4679249850450208, Y1=0.05555555555555555, X2=0.4625791492191909, Y2=0.06481481481481481, hue=13.593749105930328, saturation=1.0, brightness=1.0}
Edge{X1=0.9009376869372401, Y1=0.6944444444444444, X2=0.8955918511114103, Y2=0.6851851851851851, hue=13.593749105930328, saturation=1.0, brightness=1.0}
Edge{X1=0.1150998205402495, Y1=0.7777777777777778, X2=0.12044565636607936, Y2=0.7685185185185185, hue=13.593749105930328, saturation=1.0, brightness=1.0}
Edge{X1=0.4625791492191909, Y1=0.06481481481481481, X2=0.45188747756753117, Y2=0.06481481481481481, hue=14.062498658895493, saturation=1.0, brightness=1.0}
Edge{X1=0.8955918511114103, Y1=0.6851851851851851, X2=0.9009376869372401, Y2=0.6759259259259259, hue=14.531248211860657, saturation=1.0, brightness=1.0}
